Row,Column,Abbreviation,State,Year,Death per capita,Population,Deaths
3,3.00,WY,Wyoming,2015,0.358022692,"586,555",21
6,7.50,AL,Alabama,2016,0.995209014,"4,863,300",484
0,0.50,AK,Alaska,2016,1.186153278,"741,894",88
5,3.00,AZ,Arizona,2016,0.399649636,"6,931,071",277
5,6.00,AR,Arkansas,2016,0.622438298,"2,988,248",186
5,2.00,CA,California,2016,0.316687761,"39,250,017","1,243"
4,3.50,CO,Colorado,2016,0.373609455,"5,540,545",207
3,11.00,CT,Connecticut,2016,0.192928634,"3,576,452",69
4,9.50,DE,Delaware,2016,0.430642866,"952,065",41
5,12.00,DC,District of Columbia,2016,1.512104174,"681,170",103
8,8.50,FL,Florida,2016,0.483688514,"20,612,439",997
7,8.00,GA,Georgia,2016,0.527624079,"10,310,371",544
8,0.50,HI,Hawaii,2016,0.238002404,"1,428,557",34
3,2.00,ID,Idaho,2016,0.190120846,"1,683,140",32
3,6.00,IL,Illinois,2016,0.735849026,"12,801,539",942
3,7.00,IN,Indiana,2016,0.619624176,"6,633,053",411
3,5.00,IA,Iowa,2016,0.226497459,"3,134,693",71
5,5.00,KS,Kansas,2016,0.416195294,"2,907,289",121
4,6.50,KY,Kentucky,2016,0.646837236,"4,436,974",287
6,5.50,LA,Louisiana,2016,1.106443732,"4,681,666",518
0,11.50,ME,Maine,2016,0.150208903,"1,331,479",20
4,8.50,MD,Maryland,2016,0.699748539,"6,016,447",421
2,10.50,MA,Massachusetts,2016,0.161484981,"6,811,779",110
2,7.50,MI,Michigan,2016,0.379722611,"9,928,300",377
2,4.50,MN,Minnesota,2016,0.192030655,"5,519,952",106
6,6.50,MS,Mississippi,2016,0.953583567,"2,988,726",285
4,5.50,MO,Missouri,2016,0.841949778,"6,093,000",513
2,2.50,MT,Montana,2016,0.393277827,"1,042,520",41
4,4.50,NE,Nebraska,2016,0.298880613,"1,907,116",57
4,2.50,NV,Nevada,2016,0.687061276,"2,940,058",202
1,11.00,NH,New Hampshire,2016,0.149835743,"1,334,795",20
3,10.00,NJ,New Jersey,2016,0.326458731,"8,944,469",292
6,3.50,NM,New Mexico,2016,0.581447034,"2,081,015",121
2,9.50,NY,New York,2016,0.208657366,"19,745,289",412
5,9.00,NC,North Carolina,2016,0.56076859,"10,146,788",569
2,3.50,ND,North Dakota,2016,0.237482057,"757,952",18
3,8.00,OH,Ohio,2016,0.530377318,"11,614,373",616
6,4.50,OK,Oklahoma,2016,0.614237933,"3,923,561",241
4,1.50,OR,Oregon,2016,0.224748471,"4,093,465",92
3,9.00,PA,Pennsylvania,2016,0.425524359,"12,784,227",544
2,11.50,RI,Rhode Island,2016,0.132522297,"1,056,426",14
6,8.50,SC,South Carolina,2016,0.767971903,"4,961,119",381
3,4.00,SD,South Dakota,2016,0.254201841,"865,454",22
5,7.00,TN,Tennessee,2016,0.693108636,"6,651,194",461
7,4.00,TX,Texas,2016,0.46549862,"27,862,596","1,297"
5,4.00,UT,Utah,2016,0.222861894,"3,051,217",68
1,10.00,VT,Vermont,2016,0.176114404,"624,594",11
5,8.00,VA,Virginia,2016,0.458878757,"8,411,808",386
2,1.50,WA,Washington,2016,0.245609221,"7,288,000",179
4,7.50,WV,West Virginia,2016,0.535196838,"1,831,102",98
2,5.50,WI,Wisconsin,2016,0.382438427,"5,778,708",221
3,3.00,WY,Wyoming,2016,0.307429022,"585,501",18
6,7.50,AL,Alabama,2017,0.933769092,"4,872,725",455
0,0.50,AK,Alaska,2017,0.69697713,"746,079",52
5,3.00,AZ,Arizona,2017,0.326492279,"7,044,577",230
5,6.00,AR,Arkansas,2017,0.616945732,"2,998,643",185
5,2.00,CA,California,2017,0.296916218,"39,506,094","1,173"
4,3.50,CO,Colorado,2017,0.30360755,"5,632,271",171
3,11.00,CT,Connecticut,2017,0.201783882,"3,568,174",72
4,9.50,DE,Delaware,2017,0.479139715,"960,054",46
5,12.00,DC,District of Columbia,2017,1.213937739,"691,963",84
8,8.50,FL,Florida,2017,0.381316193,"20,979,964",800
7,8.00,GA,Georgia,2017,0.535439575,"10,421,344",558
8,0.50,HI,Hawaii,2017,0.055867599,"1,431,957",8
3,2.00,ID,Idaho,2017,0.233446866,"1,713,452",40
3,6.00,IL,Illinois,2017,0.647130989,"12,764,031",826
3,7.00,IN,Indiana,2017,0.520039715,"6,653,338",346
3,5.00,IA,Iowa,2017,0.209697626,"3,147,389",66
